CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10495,1520.17,0.39,638.17,446.66,187.99,65.81,0.12,0.43,0.21,0.11,7,47,2751.64,985.38,360.78,0.54,12
C10496,1326.23,0.99,656.56,285.06,96.32,0.0,0.91,0.38,0.79,0.16,18,20,4189.24,753.2,278.03,0.58,10
C10497,1071.25,0.35,845.78,282.28,138.25,17.63,0.89,0.18,0.4,0.07,8,43,2929.15,869.62,282.5,0.62,11
C10498,1332.68,0.65,1495.41,762.19,629.8,125.37,0.3,0.07,0.79,0.1,0,40,4129.63,1546.89,103.62,0.78,12
C10499,1191.32,0.29,620.04,265.83,147.52,126.89,0.72,0.91,0.42,0.12,11,49,5009.59,1146.38,220.35,0.75,11
C10500,4071.67,0.24,3038.84,1978.62,1275.11,74.94,0.26,0.04,0.79,0.05,15,34,8892.78,4015.21,918.29,0.04,11
C10501,2064.71,0.59,142.35,54.68,25.04,1850.29,0.24,0.06,0.9,0.6,8,5,8499.44,2193.81,618.21,0.29,12
C10502,2312.54,0.84,66.16,42.49,22.48,1063.74,0.64,0.75,0.45,0.52,9,7,5666.51,1543.54,463.51,0.2,7
C10503,1049.84,0.63,887.6,501.88,268.09,94.46,0.05,0.89,0.99,0.12,18,12,3026.27,945.58,89.42,0.47,9
C10504,1561.53,0.43,631.13,236.8,145.51,120.03,0.1,0.71,0.93,0.03,11,10,2952.82,1560.05,457.35,0.9,7
C10505,2992.47,0.21,3913.08,1808.23,1343.87,63.8,0.66,0.24,0.02,0.16,6,33,8950.75,2133.15,492.84,0.06,11
C10506,321.91,0.95,0.0,0.0,0.0,150.15,0.95,0.27,0.56,0.04,7,27,1810.9,248.29,55.39,0.05,12
C10507,3876.31,0.37,4436.29,2256.83,1963.45,4.48,0.03,0.96,0.66,0.13,15,19,9191.75,3841.18,439.13,0.23,12
C10508,1502.33,0.66,1705.31,782.46,677.61,243.67,0.02,0.7,0.84,0.12,14,34,4358.07,1601.37,380.7,0.33,10
C10509,407.24,0.21,19.93,10.64,4.28,191.2,0.07,0.83,0.67,0.09,1,50,892.98,306.71,74.25,0.26,11
C10510,390.89,0.28,42.09,24.69,13.98,4.09,0.0,0.45,0.69,0.13,15,22,2142.89,366.65,114.72,0.01,6
C10511,3647.59,0.34,4127.92,2074.17,1902.42,36.88,0.93,0.78,0.29,0.17,6,27,10490.58,3519.99,655.68,0.18,12
C10512,124.76,0.29,72.96,39.47,19.62,133.7,0.47,0.98,0.82,0.02,2,53,2087.35,143.5,11.87,0.12,7
C10513,302.36,0.62,104.05,66.99,25.53,72.94,0.69,0.36,0.06,0.14,3,25,891.48,317.85,73.35,0.18,11
C10514,384.15,0.52,83.67,41.76,35.1,143.57,0.42,0.32,0.66,0.08,17,4,1695.32,244.39,33.39,0.23,12
C10515,360.78,0.84,90.98,42.45,9.14,71.25,1.0,0.04,0.2,0.13,4,11,1503.97,338.39,43.6,0.03,12
C10516,223.18,0.29,0.0,0.0,0.0,221.98,0.48,0.74,0.77,0.18,10,16,2882.03,261.21,63.58,0.28,11
C10517,4262.2,0.54,4538.95,1600.19,845.71,100.66,0.94,0.24,0.79,0.13,11,33,7523.99,3259.67,1253.48,0.18,11
C10518,525.35,0.54,68.7,28.64,25.95,293.64,0.65,0.25,0.17,0.03,9,24,2056.94,544.11,128.27,0.11,12
C10519,3273.91,0.38,3083.4,1425.97,848.43,148.21,0.95,0.63,0.79,0.08,6,20,9808.59,2872.68,333.04,0.29,12
C10520,2858.82,0.28,222.4,134.71,24.05,2149.11,0.5,0.74,0.84,0.34,0,49,6412.94,2305.54,673.19,0.24,11
C10521,1180.91,0.21,613.53,237.42,275.91,266.92,0.88,0.41,0.05,0.03,0,27,3310.87,1061.86,234.43,0.66,12
C10522,606.59,0.22,85.86,49.87,27.36,187.89,0.33,0.94,0.43,0.13,9,28,1393.24,483.81,98.08,0.03,12
C10523,982.27,0.52,1152.62,382.22,259.85,130.41,0.66,0.16,0.19,0.14,17,16,4270.75,709.81,158.67,0.58,12
C10524,304.46,0.24,53.85,19.57,20.54,151.73,0.62,0.53,0.13,0.15,16,27,500.0,314.44,49.71,0.18,12
C10525,1113.83,0.52,1031.92,444.28,307.9,4.88,0.49,0.62,0.8,0.02,13,36,4304.32,972.24,145.45,0.68,12
C10526,2470.66,0.55,102.57,50.05,11.69,2095.14,0.5,0.62,0.29,0.51,5,55,2908.66,2852.15,455.86,0.02,9
C10527,2801.74,0.56,90.5,33.7,32.59,2355.32,0.17,0.66,0.64,0.52,19,50,4986.5,1418.01,165.68,0.16,11
C10528,3971.34,0.35,2790.98,962.36,1361.48,210.3,0.91,0.63,0.0,0.04,7,0,9276.51,4124.42,1040.98,0.08,11
C10529,312.72,0.6,0.0,0.0,0.0,131.66,0.45,0.79,0.08,0.1,16,1,1425.08,190.8,85.77,0.06,12
C10530,3908.54,0.51,5055.62,2349.83,2250.61,236.73,0.15,0.81,0.61,0.11,2,50,7961.6,4036.93,577.31,0.12,11
C10531,4085.68,0.99,3602.56,1680.08,1255.13,205.7,0.7,0.98,0.37,0.09,11,13,8177.97,4531.69,1173.17,0.01,10
C10532,1188.67,0.24,522.29,221.02,68.5,101.65,0.73,0.94,0.88,0.17,4,1,3220.09,1246.73,290.08,0.75,11
C10533,892.82,0.24,578.71,259.55,226.85,194.7,0.05,0.52,0.08,0.03,9,40,2036.23,817.54,233.89,0.78,11
C10534,27.44,0.86,11.46,4.28,3.17,221.81,0.33,0.71,0.62,0.08,15,58,1396.74,16.08,7.49,0.21,12
C10535,341.37,0.41,133.04,54.31,55.54,93.59,0.58,0.4,0.7,0.05,18,42,1947.7,400.18,46.11,0.01,12
C10536,1032.09,0.35,698.23,360.92,247.38,82.9,0.82,0.65,0.61,0.01,1,8,2845.12,751.82,261.3,0.81,11
C10537,368.74,0.9,59.6,30.33,6.03,111.24,0.31,0.01,0.68,0.07,8,17,1043.07,191.65,31.82,0.23,8
C10538,403.01,0.63,0.0,0.0,0.0,0.0,0.3,0.37,0.25,0.14,1,17,1160.88,202.04,118.59,0.17,12
C10539,4872.53,0.69,4028.76,2550.27,970.83,122.43,0.74,0.91,0.77,0.1,10,17,10117.24,4955.54,968.75,0.0,12
C10540,1538.86,0.21,227.78,68.98,66.68,2136.25,0.22,0.68,0.55,0.34,19,37,5464.1,1666.76,343.99,0.22,12
C10541,1183.7,0.41,765.65,300.06,362.04,111.56,0.9,0.02,0.79,0.09,6,44,2095.1,1257.24,149.86,0.39,11
C10542,2245.97,0.41,3343.97,2190.56,1433.86,127.57,0.79,0.52,0.12,0.06,7,17,8787.31,2001.89,130.19,0.08,12
C10543,2668.29,0.81,24.47,10.42,10.3,2102.92,0.89,0.37,0.13,0.45,5,33,3730.01,2514.38,242.21,0.23,9
C10544,420.79,0.51,0.0,0.0,0.0,0.0,0.35,0.81,0.4,0.12,16,29,1974.52,477.5,35.98,0.11,12
C10545,1700.44,0.66,1169.73,666.74,160.42,233.01,0.17,0.11,0.39,0.16,16,23,3564.7,1640.14,273.11,0.64,12
C10546,1779.57,0.95,917.23,474.52,365.35,70.57,0.59,0.6,0.13,0.16,16,10,4190.37,1327.26,219.13,0.43,12
C10547,186.97,0.99,93.47,28.22,12.58,50.58,0.19,0.71,0.08,0.05,4,3,1141.68,217.88,53.49,0.04,12
C10548,4387.56,0.3,3249.91,1243.5,443.87,208.64,0.27,0.6,0.08,0.09,4,56,7572.25,5159.37,1142.44,0.17,11
C10549,1265.23,0.64,882.14,300.08,178.22,178.3,0.4,0.27,0.05,0.11,2,39,2624.62,1188.71,234.02,0.81,12
C10550,1589.5,0.76,711.62,261.21,333.77,121.85,0.46,0.79,0.03,0.16,3,50,2405.43,1424.62,418.19,0.6,12
C10551,256.2,0.83,11.13,4.0,4.45,161.55,0.32,0.79,0.81,0.04,14,17,1731.53,296.12,50.28,0.09,12
C10552,79.58,0.94,124.54,68.39,16.27,7.6,0.28,0.36,0.93,0.03,10,12,1719.86,83.14,22.28,0.27,11
C10553,1858.04,0.78,151.46,70.07,70.82,2312.85,0.25,0.27,0.43,0.37,16,34,6449.97,1083.43,439.03,0.11,12
C10554,252.24,0.75,38.44,12.56,15.89,203.58,0.69,0.66,0.19,0.03,13,41,1530.18,295.3,58.97,0.25,12
C10555,124.07,0.24,47.79,15.91,16.32,45.83,0.31,0.37,0.33,0.2,18,43,848.76,124.95,14.73,0.23,12
C10556,244.47,0.64,17.73,12.06,2.67,20.13,0.69,0.35,0.82,0.12,1,32,695.41,248.7,60.78,0.07,11
C10557,1365.39,0.68,640.54,231.82,146.08,106.29,0.74,0.45,0.93,0.1,13,27,4043.63,1065.9,331.91,0.53,11
C10558,1144.92,0.76,468.19,187.99,103.13,108.16,0.71,0.46,0.24,0.04,2,33,4467.82,579.23,80.41,0.45,12
C10559,428.99,0.67,838.03,443.92,298.36,151.81,0.91,0.83,0.03,0.17,6,15,4410.32,296.1,27.66,0.57,10
C10560,14.56,0.53,3.61,1.35,1.21,0.0,0.95,0.95,0.31,0.03,9,9,1724.51,10.66,3.94,0.09,12
C10561,2.13,0.59,60.59,22.96,12.78,0.0,0.15,0.71,0.39,0.08,10,12,1580.13,1.74,0.63,0.21,7
C10562,5148.8,0.97,3768.24,1239.88,845.74,173.7,0.32,0.09,0.0,0.01,4,20,8970.24,5102.11,1035.73,0.05,12
C10563,1365.77,0.46,845.66,585.48,259.94,13.36,0.79,0.34,0.68,0.0,3,42,,1113.68,126.61,0.67,11
C10564,1287.58,0.83,1115.1,604.85,488.6,51.2,0.78,0.19,0.12,0.15,2,52,,979.19,199.96,0.53,12
C10565,3827.8,0.69,3637.0,1861.77,547.33,0.0,0.07,0.66,0.08,0.04,4,53,11194.84,2578.74,211.53,0.09,12
C10566,5425.84,0.56,4714.51,3090.21,1840.05,181.83,0.96,0.6,0.72,0.12,13,23,10696.83,5631.74,1385.93,0.03,11
C10567,298.9,0.53,76.0,40.87,37.87,128.03,0.86,0.98,0.77,0.14,17,58,654.58,314.22,22.65,0.18,12
C10568,1443.36,0.63,1138.12,461.2,455.13,124.82,0.9,0.45,0.18,0.1,6,59,3605.06,1088.65,193.1,0.61,11
C10569,1283.87,0.84,818.34,400.09,226.38,124.28,0.2,0.11,0.77,0.13,16,48,2572.27,837.46,244.8,0.87,12
C10570,251.37,0.3,66.22,32.52,26.0,0.0,0.5,0.6,0.3,0.05,16,4,1271.32,164.4,56.44,0.04,12
C10571,3943.99,0.93,3007.14,1380.97,1336.0,21.19,0.44,0.37,0.31,0.16,5,36,9089.84,3801.89,1091.57,0.08,12
C10572,1350.44,0.82,976.68,587.43,397.9,63.86,0.36,0.18,0.12,0.04,3,17,4891.9,1405.54,209.93,0.36,12
C10573,4865.88,0.48,3590.27,1234.6,377.35,40.1,0.23,0.37,0.23,0.12,7,51,10295.13,5106.69,475.68,0.1,12
C10574,3502.03,0.21,197.15,71.7,30.08,2108.59,0.14,0.24,0.04,0.85,2,13,5663.21,3885.39,270.44,0.28,12
C10575,1083.81,0.28,1322.38,593.59,188.91,119.7,0.87,0.2,0.67,0.16,19,23,3452.25,1114.3,232.63,0.79,12
C10576,2703.09,0.32,276.75,90.9,31.2,2282.15,0.53,0.48,0.85,0.42,16,15,6610.4,2271.01,222.2,0.3,12
C10577,1661.07,0.28,1414.1,982.74,545.57,0.0,0.6,0.81,0.05,0.07,7,52,3130.45,1141.41,356.39,0.77,12
C10578,1450.77,0.28,335.98,167.43,69.53,2331.89,0.26,0.89,0.26,0.62,10,34,2838.58,1104.98,238.01,0.01,12
C10579,315.05,0.97,110.73,35.44,43.05,156.92,0.94,0.26,0.35,0.17,6,25,919.75,220.1,48.56,0.04,12
C10580,1764.47,0.73,1028.62,558.7,376.93,26.07,0.94,0.45,0.39,0.13,0,48,3187.44,1005.12,203.32,0.89,12
C10581,731.42,0.86,735.24,450.29,227.52,84.57,0.67,0.84,0.82,0.02,4,35,3080.12,439.39,,0.36,12
C10582,604.3,0.65,12.16,5.63,1.51,137.32,0.32,0.99,0.04,0.08,0,36,1459.15,307.52,138.41,0.19,12
C10583,1106.29,0.7,1050.95,517.29,233.44,100.9,0.23,0.85,0.61,0.19,8,10,3150.62,705.5,200.42,0.87,12
C10584,2983.39,0.9,72.63,42.14,8.05,2476.35,0.6,0.49,0.53,0.7,8,22,3223.52,3235.92,465.25,0.21,11
C10585,576.63,0.41,1023.86,402.92,475.08,107.58,0.83,0.87,0.84,0.16,7,29,3067.11,505.12,80.79,0.8,12
C10586,169.62,0.76,99.34,53.55,22.2,75.05,0.97,0.71,0.31,0.08,13,25,1775.9,131.05,25.41,0.2,12
C10587,260.92,0.92,37.52,20.72,5.18,6.18,0.07,0.11,0.1,0.15,14,20,829.03,173.82,68.73,0.09,11
C10588,442.18,0.95,51.26,31.87,5.18,119.77,0.33,0.08,0.13,0.01,11,59,2141.28,403.67,68.69,0.06,12
C10589,523.08,0.56,11.78,7.73,4.06,108.0,0.39,0.94,0.63,0.0,6,21,1208.18,617.95,26.73,0.15,12
C10590,2514.84,0.89,37.17,25.14,12.95,1813.71,0.37,0.92,0.55,0.85,6,35,5668.11,1869.98,706.2,0.29,12
C10591,1187.83,0.6,653.02,228.9,325.18,146.56,0.67,0.46,0.59,0.17,9,35,5424.41,1298.6,235.44,0.55,11
C10592,627.21,0.41,14.49,9.08,3.12,201.43,0.55,0.66,0.14,0.14,14,12,911.84,725.94,57.34,0.11,12
C10593,66.3,0.4,799.07,455.61,94.78,47.19,0.89,0.3,0.04,0.12,6,52,2004.69,69.67,5.41,0.38,11
C10594,573.5,0.56,64.58,28.95,26.59,41.79,0.22,0.7,0.57,0.2,14,9,,524.19,82.67,0.13,12
C10595,331.03,0.41,50.67,33.91,11.24,38.87,0.4,0.45,0.08,0.07,6,49,1083.48,235.5,67.22,0.01,12
C10596,3913.41,0.22,3990.75,2570.23,926.91,0.0,0.54,0.35,0.93,0.17,10,35,9176.5,2048.16,1114.51,0.2,10
C10597,1096.67,0.28,1058.92,645.67,490.38,260.36,0.82,0.44,0.8,0.02,5,20,1523.69,1113.79,69.76,0.57,10
C10598,2750.85,0.88,165.84,53.57,54.75,1873.02,0.82,0.46,0.18,0.46,1,16,5757.92,3216.23,380.15,0.16,11
C10599,936.93,0.91,1146.17,425.0,298.16,31.32,0.86,0.94,0.6,0.1,9,44,1825.98,920.47,107.08,0.87,11
C10600,1225.79,0.9,1236.78,825.34,593.93,9.86,0.52,0.88,0.13,0.19,14,26,4335.99,643.97,190.36,0.74,10
C10601,2320.63,0.64,4326.96,2998.13,891.86,68.96,0.24,0.19,0.94,0.14,8,32,7483.44,1386.84,575.57,0.01,12
C10602,2823.67,0.95,299.67,123.14,32.54,2397.26,0.73,0.28,0.59,0.54,15,21,6710.69,2188.54,253.11,0.1,10
C10603,5148.0,0.6,3667.89,1507.34,705.52,215.05,0.95,0.3,0.32,0.19,1,20,8823.94,6139.01,1460.71,0.11,12
C10604,1620.11,0.57,21.59,11.75,2.54,3015.89,0.29,0.01,0.68,0.52,0,16,5676.51,906.33,184.87,0.23,12
C10605,4287.17,0.58,2987.17,987.18,785.92,0.0,0.2,0.53,0.0,0.15,18,54,9393.79,3097.56,1021.11,0.29,10
C10606,1986.15,0.4,50.27,27.05,21.74,1189.23,0.02,0.48,0.29,0.86,11,53,6182.52,1760.36,416.83,0.06,11
C10607,232.55,0.69,59.33,40.79,29.07,91.42,0.67,0.12,0.23,0.08,6,9,1871.36,134.5,43.47,0.04,9
C10608,5345.91,0.56,4233.05,1772.72,1609.1,82.16,0.55,0.99,0.35,0.02,12,8,8744.22,3113.05,1395.13,0.19,8
C10609,1704.61,0.98,541.45,323.3,254.72,144.77,0.13,0.76,0.09,0.12,15,48,3456.02,934.28,343.97,0.62,11
C10610,1436.42,0.34,811.32,413.74,213.71,110.94,0.2,0.18,0.97,0.03,17,21,2034.24,1223.75,352.81,0.87,12
C10611,4161.08,0.26,3345.78,1388.25,739.7,96.25,0.66,0.71,0.47,0.12,18,12,10272.39,2915.1,820.93,0.07,11
C10612,2625.22,0.48,196.71,91.47,31.81,1176.04,0.44,0.34,0.86,0.42,7,12,3710.52,1385.2,604.11,0.07,12
C10613,2949.51,0.37,78.54,40.88,23.59,2175.8,0.23,0.63,0.06,0.45,0,53,5156.99,2510.85,182.49,0.17,9
C10614,192.6,0.99,30.5,18.44,7.04,43.97,0.61,0.47,0.84,0.17,8,15,1984.13,194.78,40.69,0.14,12
C10615,5818.39,0.65,4451.24,2298.25,636.59,13.25,0.05,0.14,0.65,0.08,2,43,7586.43,5633.3,1584.05,0.1,11
C10616,4511.95,0.49,2850.66,1910.1,1347.69,121.54,0.02,0.46,0.68,0.09,10,27,9052.87,4417.26,959.17,0.09,10
C10617,4.85,0.71,72.78,25.24,10.88,0.0,0.26,0.96,0.81,0.01,3,27,1854.78,4.3,1.24,0.08,11
C10618,148.26,0.56,23.24,15.87,9.2,64.23,0.29,0.75,0.53,0.06,13,20,2055.39,155.21,44.14,0.26,12
C10619,20.56,0.37,87.33,45.43,11.11,86.15,0.1,0.63,0.63,0.02,17,4,1803.37,11.18,1.83,0.14,12
C10620,4305.02,0.52,3090.41,1411.47,960.64,96.83,0.11,0.84,0.9,0.03,4,5,9585.73,2727.23,956.91,0.26,9
C10621,1434.24,0.43,1373.61,453.87,508.13,131.92,0.17,0.83,0.13,0.09,10,10,3539.93,1423.22,393.43,0.55,10
C10622,793.16,0.71,102.45,42.88,19.86,2675.37,0.72,0.89,0.06,0.7,19,17,4665.52,582.99,45.36,0.15,12
C10623,558.8,0.85,1065.25,506.18,138.76,46.6,0.81,0.11,0.98,0.19,6,9,3109.32,372.83,52.2,0.46,12
C10624,3032.66,0.41,116.37,78.53,39.26,1701.36,0.18,0.13,0.88,0.78,15,16,3017.28,1573.75,340.91,0.05,8
C10625,420.38,0.7,841.01,506.77,286.92,74.4,0.66,0.8,0.51,0.03,0,45,3045.06,465.76,113.53,0.31,11
C10626,4774.4,0.77,4195.17,1357.63,943.04,213.53,0.23,1.0,0.78,0.15,12,0,7382.37,5187.78,1405.14,0.2,7
C10627,151.65,0.5,12.21,5.27,3.06,73.99,0.88,0.56,0.88,0.0,0,37,1179.55,82.25,42.22,0.07,9
C10628,1366.27,0.59,1314.12,652.55,155.38,98.7,0.27,0.96,0.47,0.13,1,31,2991.1,974.25,230.22,0.66,9
C10629,4368.17,0.49,4684.71,2998.38,1022.75,88.9,0.13,0.66,0.1,0.15,11,13,9120.5,2840.13,947.52,0.27,12
C10630,2827.33,0.5,80.87,49.38,36.64,2322.26,0.44,0.09,0.48,0.76,17,17,4531.82,1822.92,214.85,0.29,6
C10631,4066.17,0.56,2741.34,1059.4,461.96,66.41,0.15,0.93,0.35,0.06,14,22,10996.29,2767.67,1198.59,0.16,12
C10632,192.73,0.44,27.85,8.92,8.0,107.69,0.2,0.84,0.02,0.02,8,16,1024.37,136.44,55.12,0.22,12
C10633,941.19,0.59,1130.49,399.01,419.11,222.47,0.34,0.54,0.96,0.2,7,18,4353.47,936.08,187.37,0.88,12
C10634,0.0,0.8,52.78,26.46,22.23,183.91,0.66,0.74,0.72,0.17,9,25,1599.25,0.0,0.0,0.13,12
C10635,187.06,0.52,6.19,2.08,0.82,184.46,0.12,0.35,0.79,0.15,5,39,2007.27,99.48,53.66,0.11,11
C10636,5726.93,0.96,3945.22,1577.71,1328.49,0.0,0.28,0.62,0.6,0.04,0,38,10672.51,4157.89,1568.88,0.18,7
C10637,4375.86,0.37,4658.72,2928.19,1634.82,5.59,0.86,0.41,0.27,0.09,16,19,9858.82,4232.3,1302.56,0.1,12
C10638,4570.4,0.56,4018.83,1851.8,719.18,117.42,0.27,0.53,0.58,0.14,10,17,12587.43,3263.94,808.79,0.22,12
C10639,3029.98,0.68,167.6,117.06,18.83,2832.37,0.17,0.64,0.68,0.35,17,46,7051.47,1920.37,415.24,0.04,12
C10640,3341.84,0.63,2785.04,1677.69,1219.14,58.47,0.53,0.05,0.6,0.19,11,45,9024.14,2063.51,482.19,0.22,12
C10641,4990.31,0.96,3769.87,1530.44,1040.59,44.19,0.03,0.1,0.13,0.19,7,41,10079.75,4583.9,869.69,0.15,11
C10642,381.02,0.46,120.08,36.39,14.93,211.51,0.8,0.08,0.81,0.03,1,41,2054.34,230.8,105.95,0.02,12
C10643,322.4,0.5,43.7,22.32,14.47,154.87,0.22,0.59,0.3,0.04,14,14,653.86,182.99,26.49,0.25,12
C10644,1706.37,0.68,1777.09,1034.88,445.63,184.64,0.13,0.41,0.4,0.07,12,39,2257.35,1748.67,361.98,0.71,11
C10645,3019.82,0.68,149.24,72.81,19.71,2826.06,0.81,0.5,0.55,0.52,17,19,3750.19,2236.58,841.91,0.22,12
C10646,423.92,0.83,4.69,3.11,1.01,58.4,0.84,0.5,0.98,0.09,4,31,696.69,477.41,50.21,0.04,12
C10647,1456.68,0.84,1066.72,647.69,246.13,175.91,0.73,0.04,0.31,0.14,7,32,3959.23,1234.5,264.1,0.61,11
C10648,4163.77,0.21,3172.87,1612.16,1046.93,78.98,0.23,0.8,0.04,0.09,4,47,7684.61,2465.99,1035.18,0.26,9
C10649,474.29,0.81,21.93,6.74,5.73,51.13,0.53,0.7,0.97,0.04,3,54,1153.46,301.14,84.75,0.14,12
C10650,662.28,0.77,953.49,415.05,136.16,26.94,0.97,0.69,0.96,0.05,17,25,2751.07,739.78,120.45,0.34,12
C10651,1759.49,0.67,169.64,84.44,60.08,2115.42,0.48,0.03,0.2,0.61,7,6,5276.57,1034.39,425.19,0.16,12
C10652,3842.8,0.45,4758.6,1903.89,1863.09,170.01,0.95,0.65,0.83,0.1,0,1,8944.25,2770.16,350.37,0.11,12
C10653,248.2,0.93,87.05,55.28,26.37,0.0,0.68,0.5,0.92,0.18,1,21,1825.57,176.81,56.77,0.29,12
C10654,2197.52,0.79,107.65,50.57,13.49,1588.37,0.84,0.76,0.01,0.71,6,25,5716.56,2618.14,611.93,0.06,11
C10655,628.19,0.41,39.69,15.14,5.61,43.34,0.19,0.1,0.75,0.16,0,35,2630.76,742.58,47.41,0.16,11
C10656,3893.69,0.44,231.25,141.44,110.51,1040.46,0.93,0.75,0.18,0.5,17,21,3408.55,3833.14,253.28,0.1,12
C10657,224.87,0.77,64.71,35.16,11.37,88.3,0.85,0.96,0.83,0.15,16,19,1598.4,149.51,16.16,0.05,11
C10658,1225.55,0.93,873.07,330.74,194.69,82.34,0.79,0.85,0.02,0.05,18,44,2837.71,766.58,286.6,0.71,12
C10659,1873.5,0.59,1165.85,598.19,437.2,77.03,0.94,0.89,0.69,0.08,17,17,3360.87,1015.56,276.91,0.37,8
C10660,250.73,0.9,43.53,25.15,18.14,64.45,0.79,0.08,0.82,0.09,0,2,1251.52,136.13,41.65,0.08,12
C10661,531.36,0.51,33.76,16.18,15.68,2794.58,0.58,0.53,0.04,0.41,12,25,5372.87,615.61,123.32,0.15,11
C10662,0.0,0.52,31.96,13.45,8.25,205.58,0.65,0.25,0.76,0.03,17,37,1339.93,0.0,0.0,0.13,12
C10663,308.57,0.75,111.42,64.16,55.37,102.0,0.82,0.54,0.12,0.07,17,11,1468.59,197.12,61.72,0.27,12
C10664,302.67,0.24,68.48,39.37,9.69,89.92,0.75,0.71,0.08,0.11,9,0,1266.75,316.87,79.5,0.2,8
C10665,3452.36,0.31,2977.47,913.41,1282.14,48.43,0.59,0.75,0.92,0.13,18,36,6711.12,1910.85,562.1,0.02,12
C10666,3453.53,0.78,3386.29,1333.01,707.2,67.36,0.6,0.99,0.92,0.02,3,11,8723.1,2989.62,927.98,0.04,12
C10667,2547.22,0.39,79.23,44.25,37.62,2933.6,0.88,0.96,0.74,0.67,13,52,4492.39,1622.7,460.54,0.18,12
C10668,422.43,0.34,70.5,27.47,31.56,161.23,0.01,0.25,0.89,0.14,5,20,2789.41,343.88,63.56,0.07,8
C10669,916.99,0.27,1414.64,969.12,572.8,39.71,0.72,0.92,0.02,0.07,18,54,2645.07,605.53,105.7,0.57,12
C10670,415.1,0.38,27.99,10.22,9.56,0.0,0.57,0.88,0.51,0.03,17,5,1451.31,247.21,96.54,0.3,12
C10671,1403.86,0.4,1065.73,638.68,197.99,104.66,0.84,0.72,0.87,0.05,18,28,3224.47,1612.75,288.47,0.42,9
C10672,3050.96,0.47,320.64,224.23,91.31,2751.25,0.21,0.26,0.89,0.63,1,24,5600.06,3490.14,768.98,0.09,12
C10673,3346.57,0.95,2427.45,1064.76,276.52,53.14,0.53,0.19,0.37,0.19,5,17,8654.34,2828.86,624.72,0.01,12
C10674,938.29,0.72,680.99,368.59,261.34,172.92,0.13,0.44,0.32,0.15,7,21,1881.41,985.52,250.25,0.59,7
C10675,1335.58,0.75,1080.03,369.68,158.06,0.0,0.66,0.04,0.7,0.16,18,22,4356.49,856.41,162.76,0.46,11
C10676,1404.41,0.31,187.92,103.12,38.21,1382.53,0.76,0.28,0.06,0.58,13,3,5263.98,1092.46,326.7,0.09,11
C10677,1018.5,0.35,633.81,440.51,125.51,184.37,0.62,0.07,0.78,0.07,19,13,3275.23,670.05,151.07,0.86,12
C10678,457.18,0.92,29.73,20.49,12.34,49.76,0.55,0.52,0.25,0.19,17,16,2044.2,255.4,35.88,0.27,12
C10679,1231.06,0.71,1015.71,472.01,264.35,63.94,0.34,0.62,0.52,0.02,5,35,4277.83,980.8,224.15,0.48,12
C10680,333.8,0.85,30.24,19.0,9.49,140.35,0.64,0.11,0.19,0.16,3,17,1563.09,340.95,35.99,0.22,12
C10681,332.5,0.49,39.18,24.71,7.19,142.5,0.9,0.87,0.73,0.05,12,8,1638.32,339.61,21.76,0.26,12
C10682,399.22,0.66,21.75,9.37,5.08,49.29,0.72,0.1,0.96,0.12,15,41,2211.71,323.52,56.21,0.16,11
C10683,1499.2,0.6,313.42,197.17,95.52,0.0,0.02,0.4,0.54,0.2,4,19,,1217.99,441.34,0.42,12
C10684,1480.63,0.36,775.43,283.0,137.78,269.1,0.51,0.5,0.95,0.17,13,1,3863.79,1365.18,404.99,0.75,12
C10685,432.05,0.86,41.47,28.68,15.59,176.49,0.74,0.58,0.4,0.17,7,10,1126.91,498.23,127.43,0.22,9
C10686,1103.73,0.47,577.68,372.99,161.58,112.55,0.5,0.32,0.29,0.16,15,33,4659.94,667.8,63.07,0.76,7
C10687,3116.65,0.57,51.8,26.12,25.56,1691.67,0.59,0.71,0.84,0.35,12,12,4342.31,2441.7,274.93,0.11,12
C10688,3234.53,0.31,3646.33,1655.9,724.21,149.71,0.91,0.34,0.04,0.08,13,55,11794.9,3667.88,351.84,0.19,11
C10689,962.74,0.71,709.26,481.15,183.29,159.29,0.87,0.25,0.28,0.1,0,40,2544.67,851.15,225.46,0.8,12
C10690,250.32,0.83,24.66,8.1,11.59,0.0,0.08,0.45,0.69,0.06,16,17,653.71,264.1,73.73,0.11,7
C10691,2458.85,0.53,129.46,64.65,58.83,1224.66,0.51,0.11,0.19,0.51,12,59,5628.65,2025.7,372.75,0.11,12
C10692,383.43,0.98,100.86,49.91,29.62,63.61,0.62,0.97,0.89,0.03,4,42,2217.77,438.92,75.11,0.14,11
C10693,231.54,0.41,65.42,29.6,9.78,87.09,0.85,0.55,0.48,0.18,9,40,1768.14,260.06,16.7,0.3,12
C10694,2334.63,0.9,169.56,58.51,44.68,3257.18,0.27,0.14,0.25,0.45,5,4,7231.85,1896.1,483.98,0.24,7
